data_date,network_fee_withdrawn,operator_fee_withdrawn,total_fee_withdrawn,accumulated_network_fee_withdrawn,accumulated_operator_fee_withdrawn,accumulated_total_fee_withdrawn
2024-09-02,0,0,0,0,16023.845543025029,16023.845543025029
2024-09-01,0,0,0,0,16023.845543025029,16023.845543025029
2024-08-31,0,48.95827041947,48.95827041947,0,16023.845543025029,16023.845543025029
2024-08-30,0,658.80444067608,658.80444067608,0,15974.887272605558,15974.887272605558
2024-08-29,0,0,0,0,15316.082831929478,15316.082831929478
2024-08-28,0,149.98771630955,149.98771630955,0,15316.082831929478,15316.082831929478
2024-08-27,0,263.09050372129,263.09050372129,0,15166.095115619928,15166.095115619928
2024-08-26,0,19.919884458,19.919884458,0,14903.004611898637,14903.004611898637
2024-08-25,0,0,0,0,14883.084727440637,14883.084727440637
2024-08-24,0,0,0,0,14883.084727440637,14883.084727440637
2024-08-23,0,12.312588006799999,12.312588006799999,0,14883.084727440637,14883.084727440637
2024-08-22,0,0,0,0,14870.772139433837,14870.772139433837
2024-08-21,0,13.45657213057,13.45657213057,0,14870.772139433837,14870.772139433837
2024-08-20,0,36.82850365558,36.82850365558,0,14857.315567303267,14857.315567303267
2024-08-19,0,38.31622959471,38.31622959471,0,14820.487063647686,14820.487063647686
2024-08-18,0,0,0,0,14782.170834052977,14782.170834052977
2024-08-17,0,0,0,0,14782.170834052977,14782.170834052977
2024-08-16,0,0.3949250041,0.3949250041,0,14782.170834052977,14782.170834052977
2024-08-15,0,0,0,0,14781.775909048876,14781.775909048876
2024-08-14,0,0,0,0,14781.775909048876,14781.775909048876
2024-08-13,0,90.24323834231001,90.24323834231001,0,14781.775909048876,14781.775909048876
2024-08-12,0,101.95479284724,101.95479284724,0,14691.532670706567,14691.532670706567
2024-08-11,0,0,0,0,14589.577877859327,14589.577877859327
2024-08-10,0,28.99242827889,28.99242827889,0,14589.577877859327,14589.577877859327
2024-08-09,0,0,0,0,14560.585449580436,14560.585449580436
2024-08-08,0,53.667907486160004,53.667907486160004,0,14560.585449580436,14560.585449580436
2024-08-07,0,0,0,0,14506.917542094276,14506.917542094276
2024-08-06,0,383.08024186029996,383.08024186029996,0,14506.917542094276,14506.917542094276
2024-08-05,0,0,0,0,14123.837300233976,14123.837300233976
2024-08-04,0,0,0,0,14123.837300233976,14123.837300233976
2024-08-03,0,53.909917528840005,53.909917528840005,0,14123.837300233976,14123.837300233976
2024-08-02,0,25.49074653155,25.49074653155,0,14069.927382705137,14069.927382705137
2024-08-01,0,27.715079724949998,27.715079724949998,0,14044.436636173587,14044.436636173587
2024-07-31,0,0,0,0,14016.721556448636,14016.721556448636
2024-07-30,0,0,0,0,14016.721556448636,14016.721556448636
2024-07-29,0,7.53454224279,7.53454224279,0,14016.721556448636,14016.721556448636
