Rolling 7 day,SSV Token Holders,Change in 1 Day,Date
+16🔼,5889,0,2024-09-02 00:00:00
+23⏫,5889,2,2024-09-01 00:00:00
+19🔼,5887,0,2024-08-31 00:00:00
+27⏫,5887,14,2024-08-30 00:00:00
+10🔼,5873,2,2024-08-29 00:00:00
+16🔼,5871,3,2024-08-28 00:00:00
+15🔼,5868,-5,2024-08-27 00:00:00
+21⏫,5873,7,2024-08-26 00:00:00
+13🔼,5866,-2,2024-08-25 00:00:00
+21⏫,5868,8,2024-08-24 00:00:00
+19🔼,5860,-3,2024-08-23 00:00:00
+26⏫,5863,8,2024-08-22 00:00:00
+11🔼,5855,2,2024-08-21 00:00:00
+21⏫,5853,1,2024-08-20 00:00:00
+30⏫,5852,-1,2024-08-19 00:00:00
+36⏫,5853,6,2024-08-18 00:00:00
+31⏫,5847,6,2024-08-17 00:00:00
+23⏫,5841,4,2024-08-16 00:00:00
+23⏫,5837,-7,2024-08-15 00:00:00
+43⏫,5844,12,2024-08-14 00:00:00
+37⏫,5832,10,2024-08-13 00:00:00
+25⏫,5822,5,2024-08-12 00:00:00
+22⏫,5817,1,2024-08-11 00:00:00
+24⏫,5816,-2,2024-08-10 00:00:00
+27⏫,5818,4,2024-08-09 00:00:00
+34⏫,5814,13,2024-08-08 00:00:00
+26⏫,5801,6,2024-08-07 00:00:00
+25⏫,5795,-2,2024-08-06 00:00:00
+30⏫,5797,2,2024-08-05 00:00:00
+32⏫,5795,3,2024-08-04 00:00:00
+34⏫,5792,1,2024-08-03 00:00:00
+31⏫,5791,11,2024-08-02 00:00:00
+26⏫,5780,5,2024-08-01 00:00:00
+28⏫,5775,5,2024-07-31 00:00:00
+30⏫,5770,3,2024-07-30 00:00:00
+39⏫,5767,4,2024-07-29 00:00:00
+37⏫,5763,5,2024-07-28 00:00:00
+34⏫,5758,-2,2024-07-27 00:00:00
+46⏫,5760,6,2024-07-26 00:00:00
+43⏫,5754,7,2024-07-25 00:00:00
+22⏫,5747,7,2024-07-24 00:00:00
+31⏫,5740,12,2024-07-23 00:00:00
+37⏫,5728,2,2024-07-22 00:00:00
🔥+62🔥,5726,2,2024-07-21 00:00:00
🔥+81🔥,5724,10,2024-07-20 00:00:00
+113🚀,5714,3,2024-07-19 00:00:00
+183🚀,5711,-14,2024-07-18 00:00:00
+199🚀,5725,16,2024-07-17 00:00:00
+185🚀,5709,18,2024-07-16 00:00:00
+162🚀,5691,27,2024-07-15 00:00:00
+136🚀,5664,21,2024-07-14 00:00:00
+104🚀,5643,42,2024-07-13 00:00:00
🔥+60🔥,5601,73,2024-07-12 00:00:00
-8🔽,5528,2,2024-07-11 00:00:00
-38⏬,5526,2,2024-07-10 00:00:00
-39⏬,5524,-5,2024-07-09 00:00:00
-31⏬,5529,1,2024-07-08 00:00:00
-29⏬,5528,-11,2024-07-07 00:00:00
-19🔽,5539,-2,2024-07-06 00:00:00
-33⏬,5541,5,2024-07-05 00:00:00
-45⏬,5536,-28,2024-07-04 00:00:00
-30⏬,5564,1,2024-07-03 00:00:00
🚀+949🤯,5563,3,2024-07-02 00:00:00
🚀+944🤯,5560,3,2024-07-01 00:00:00
🚀+953🤯,5557,-1,2024-06-30 00:00:00
🚀+964🤯,5558,-16,2024-06-29 00:00:00
🚀+981🤯,5574,-7,2024-06-28 00:00:00
🚀+997🤯,5581,-13,2024-06-27 00:00:00
🚀+1010🤯,5594,980,2024-06-26 00:00:00
+32⏫,4614,-2,2024-06-25 00:00:00
+49⏫,4616,12,2024-06-24 00:00:00
+38⏫,4604,10,2024-06-23 00:00:00
+30⏫,4594,1,2024-06-22 00:00:00
+21⏫,4593,9,2024-06-21 00:00:00
