time_scale,inflow,outflow,s_total,u_total,total_inflow,day_net_inflow
2024-08-06 00:00:00.000 UTC,0,48031,545356,545355,1,-48031
2024-08-05 00:00:00.000 UTC,16834,10,545356,497324,48032,16824
2024-08-04 00:00:00.000 UTC,31207,-0,528522,497314,31208,31207
2024-06-09 00:00:00.000 UTC,1400,4249,497315,497314,1,-2849
2024-05-01 00:00:00.000 UTC,1410,-0,495915,493065,2850,1410
2024-04-25 00:00:00.000 UTC,0,386,494505,493065,1440,-386
2024-04-24 00:00:00.000 UTC,78,-0,494505,492679,1826,78
2024-04-03 00:00:00.000 UTC,0,70,494427,492679,1748,-70
2024-03-26 00:00:00.000 UTC,97,-0,494427,492609,1818,97
2024-03-13 00:00:00.000 UTC,2500,5176,494330,492609,1721,-2676
2024-01-22 00:00:00.000 UTC,495,-0,491830,487433,4397,495
2024-01-11 00:00:00.000 UTC,1100,2200,491335,487433,3902,-1100
2024-01-08 00:00:00.000 UTC,12000,24888,490235,485233,5002,-12888
2024-01-07 00:00:00.000 UTC,0,2142,478235,460345,17890,-2142
2024-01-01 00:00:00.000 UTC,0,4500,478235,458203,20032,-4500
2023-12-27 00:00:00.000 UTC,9500,12000,478235,453703,24532,-2500
2023-12-06 00:00:00.000 UTC,740,1868,468735,441703,27032,-1128
2023-12-05 00:00:00.000 UTC,50419,50419,467995,439835,28160,0
2023-11-29 00:00:00.000 UTC,0,7000,417576,389416,28160,-7000
2023-10-18 00:00:00.000 UTC,75,-0,417576,382416,35160,75
2023-07-26 00:00:00.000 UTC,2947,92,417501,382416,35085,2855
2023-07-19 00:00:00.000 UTC,260,-0,414554,382324,32230,260
2023-06-28 00:00:00.000 UTC,0,200,414294,382324,31970,-200
2023-06-22 00:00:00.000 UTC,161,-0,414294,382124,32170,161
2023-06-13 00:00:00.000 UTC,0,950,414133,382124,32009,-950
2023-06-12 00:00:00.000 UTC,3131,-0,414133,381174,32959,3131
2023-06-05 00:00:00.000 UTC,15061,-0,411002,381174,29828,15061
2023-06-01 00:00:00.000 UTC,1070,-0,395941,381174,14767,1070
2023-05-09 00:00:00.000 UTC,0,220,394871,381174,13697,-220
2023-04-10 00:00:00.000 UTC,100,-0,394871,380954,13917,100
2023-03-13 00:00:00.000 UTC,7260,-0,394771,380954,13817,7260
2023-03-02 00:00:00.000 UTC,501,500,387511,380954,6557,1
2023-03-01 00:00:00.000 UTC,0,700,387010,380454,6556,-700
2023-02-28 00:00:00.000 UTC,737,2435,387010,379754,7256,-1698
2023-02-27 00:00:00.000 UTC,255,670,386273,377319,8954,-415
2023-02-26 00:00:00.000 UTC,0,10000,386018,376649,9369,-10000
2023-02-23 00:00:00.000 UTC,0,4000,386018,366649,19369,-4000
2023-02-20 00:00:00.000 UTC,0,2850,386018,362649,23369,-2850
2023-02-15 00:00:00.000 UTC,0,2100,386018,359799,26219,-2100
2023-02-14 00:00:00.000 UTC,0,3521,386018,357699,28319,-3521
2023-02-08 00:00:00.000 UTC,0,4200,386018,354178,31840,-4200
2023-02-07 00:00:00.000 UTC,0,12002,386018,349978,36040,-12002
2023-02-06 00:00:00.000 UTC,48041,-0,386018,337976,48042,48041
2023-01-17 00:00:00.000 UTC,0,8318,337977,337976,1,-8318
2023-01-16 00:00:00.000 UTC,740,-0,337977,329658,8319,740
2023-01-09 00:00:00.000 UTC,0,5000,337237,329658,7579,-5000
2022-12-13 00:00:00.000 UTC,12579,-0,337237,324658,12579,12579
2022-11-24 00:00:00.000 UTC,0,37453,324658,324658,0,-37453
2022-11-20 00:00:00.000 UTC,0,15960,324658,287205,37453,-15960
2022-11-17 00:00:00.000 UTC,0,20005,324658,271245,53413,-20005
2022-11-13 00:00:00.000 UTC,73418,-0,324658,251240,73418,73418
2022-09-18 00:00:00.000 UTC,0,740,251240,251240,0,-740
2022-09-14 00:00:00.000 UTC,740,-0,251240,250500,740,740
2022-08-25 00:00:00.000 UTC,0,6500,250500,250500,0,-6500
2022-04-27 00:00:00.000 UTC,0,1499,250500,244000,6500,-1499
2022-02-15 00:00:00.000 UTC,0,10000,250500,242501,7999,-10000
2022-02-10 00:00:00.000 UTC,0,10000,250500,232501,17999,-10000
2022-01-16 00:00:00.000 UTC,0,9500,250500,222501,27999,-9500
2022-01-06 00:00:00.000 UTC,0,44751,250500,213001,37499,-44751
2022-01-02 00:00:00.000 UTC,250500,168250,250500,168250,82250,82250
