staking_type,platform_type,week,amount,amount_exited,abs_amount_exited,net_value,cumsum,net_value_usd,active_validators
LST,Staking API,2024-07-15,0,-6368,6368,-6368,1.101952e+06,3.660144587520002e+09,34436
LRT,Staking API,2024-07-15,128,0,0,128,1.108672e+06,3.6824651347200017e+09,34646
direct,dApp,2024-07-15,192,-416,416,-224,1.108544e+06,3.6820399814400015e+09,34642
direct,Staking API,2024-07-15,192,-544,544,-352,1.10832e+06,3.6812959632000017e+09,34635
Other,Staking API,2024-07-08,32,0,0,32,1.057344e+06,3.511978669440001e+09,33042
LRT,Staking API,2024-07-08,0,-30720,30720,-30720,1.057312e+06,3.511872381120001e+09,33041
direct,dApp,2024-07-08,1920,-2080,2080,-160,1.088032e+06,3.6139091683200006e+09,34001
direct,Staking API,2024-07-08,1632,0,0,1632,1.108768e+06,3.6827839996800013e+09,34649
LST,Staking API,2024-07-08,1504,-480,480,1024,1.107136e+06,3.677363295360001e+09,34598
LST,Lido,2024-07-08,0,-672,672,-672,1.106112e+06,3.6739620691200013e+09,34566
DVT,SSV,2024-07-08,49536,-96,96,49440,1.106784e+06,3.676194123840001e+09,34587
direct,Staking API,2024-07-01,32,0,0,32,1.088192e+06,3.6144406099200006e+09,34006
LST,Lido,2024-07-01,0,-256,256,-256,1.08816e+06,3.6143343216000004e+09,34005
LST,Staking API,2024-07-01,6848,-64,64,6784,1.088416e+06,3.6151846281600003e+09,34013
direct,dApp,2024-07-01,960,0,0,960,1.081632e+06,3.59265150432e+09,33801
LRT,Staking API,2024-07-01,0,-167424,167424,-167424,1.080672e+06,3.5894628547200003e+09,33771
DVT,SSV,2024-07-01,38464,-40672,40672,-2208,1.248096e+06,4.14556334496e+09,39003
direct,dApp,2024-06-24,1280,-32,32,1248,1.250304e+06,4.15289723904e+09,39072
direct,Staking API,2024-06-24,1184,-32,32,1152,1.249056e+06,4.14875199456e+09,39033
LRT,Staking API,2024-06-24,0,-1152,1152,-1152,1.247904e+06,4.14492561504e+09,38997
DVT,SSV,2024-06-24,9856,-960,960,8896,1.249056e+06,4.14875199456e+09,39033
LST,Lido,2024-06-24,0,-2496,2496,-2496,1.24016e+06,4.1192038416e+09,38755
LST,Staking API,2024-06-24,1408,-192,192,1216,1.242656e+06,4.12749433056e+09,38833
direct,dApp,2024-06-17,5504,-448,448,5056,1.24144e+06,4.1234553744e+09,38795
LST,Staking API,2024-06-17,32,0,0,32,1.236384e+06,4.10666181984e+09,38637
