platform_type,week,amount,amount_exited,abs_amount_exited,net_value,cumsum,net_value_usd,active_validators
SSV,2023-04-10,32,0,0,32,32,106288.32,1
dApp,2023-04-10,94752,0,0,94752,94784,3.1482600384000003e+08,2962
dApp,2023-04-17,2944,0,0,2944,97728,3.2460452928000003e+08,3054
SSV,2023-04-24,32,0,0,32,97760,3.247108176e+08,3055
dApp,2023-04-24,7136,-32,32,7104,104864,3.4830682464000005e+08,3277
dApp,2023-05-01,3072,-128,128,2944,107808,3.5808535008000004e+08,3369
dApp,2023-05-08,5984,0,0,5984,113792,3.7796126592e+08,3556
dApp,2023-05-15,11552,0,0,11552,125344,4.1633134944e+08,3917
dApp,2023-05-22,128,-32,32,96,125440,4.166502144e+08,3920
SSV,2023-05-22,32,0,0,32,125472,4.1675650271999997e+08,3921
dApp,2023-05-29,1248,0,0,1248,126720,4.209017472e+08,3960
dApp,2023-06-05,448,-32,32,416,127136,4.2228349536e+08,3973
SSV,2023-06-12,32,0,0,32,127168,4.2238978368e+08,3974
dApp,2023-06-12,128,0,0,128,127296,4.2281493696e+08,3978
SSV,2023-06-19,1728,0,0,1728,129024,4.2855450623999995e+08,4032
dApp,2023-06-19,160,0,0,160,129184,4.2908594784e+08,4037
dApp,2023-06-26,4032,0,0,4032,133216,4.4247827615999997e+08,4163
Lido,2023-06-26,6976,0,0,6976,140192,4.6564912991999996e+08,4381
SSV,2023-06-26,32,0,0,32,140224,4.6575541823999995e+08,4382
SSV,2023-07-03,224,0,0,224,140448,4.6649943647999996e+08,4389
dApp,2023-07-03,256,-64,64,192,140640,4.671371664e+08,4395
Lido,2023-07-03,6112,0,0,6112,146752,4.8743823552e+08,4586
dApp,2023-07-10,800,0,0,800,147552,4.9009544352e+08,4611
dApp,2023-07-17,1600,0,0,1600,149152,4.9540985952e+08,4661
dApp,2023-07-24,480,-32,32,448,149600,4.96897896e+08,4675
Lido,2023-07-24,13248,0,0,13248,162848,5.4090126048e+08,5089
SSV,2023-07-24,576,0,0,576,163424,5.4281445024e+08,5107
Lido,2023-07-31,3744,0,0,3744,167168,5.552501836800001e+08,5224
SSV,2023-07-31,512,0,0,512,167680,5.569507968000001e+08,5240
dApp,2023-07-31,576,-192,192,384,168064,5.582262566400001e+08,5252
dApp,2023-08-07,832,-64,64,768,168832,5.6077717632e+08,5276
Lido,2023-08-07,4064,0,0,4064,172896,5.7427579296e+08,5403
SSV,2023-08-07,64,0,0,64,172960,5.744883696e+08,5405
SSV,2023-08-14,32,0,0,32,172992,5.745946579200001e+08,5406
dApp,2023-08-14,352,0,0,352,173344,5.7576382944e+08,5417
Lido,2023-08-14,9120,0,0,9120,182464,6.060560006400001e+08,5702
Lido,2023-08-21,2816,0,0,2816,185280,6.154093728000001e+08,5790
dApp,2023-08-21,480,-96,96,384,185664,6.166848326400001e+08,5802
SSV,2023-08-21,160,0,0,160,185824,6.172162742400001e+08,5807
Lido,2023-08-28,5536,0,0,5536,191360,6.356041536000001e+08,5980
