owner,add_num,remove_num,net_add_num
0xdfab93a33a19ca9d60ad4ca161a6a6a241f5c75e,4000,0,4000
0xd1208cc82765aa4dc696117d26f37388b6dcb6d5,4260,380,3880
0x2b17924d0d2f3d70aefb07602c7926827677ba19,2705,0,2705
0x6161a36b7bd4d469a11803535816aac9829ad5cc,2421,0,2421
0xc2d42368d94e2d5d82f3b05a06ec53ebfb81ce0f,2049,189,1860
0xc0979af67786f30dea9335665592d6813b21b819,3285,1605,1680
0xc86b8b29926488fabe686755a1c8e1c8a077abdb,1500,0,1500
0x60cd284adc16f5858c23b26c8377c13f72c49e35,2743,1377,1366
0x52ec98881e3a62452e8f6bfb74290b51a442975b,1335,0,1335
0x29984aadadb3927fb8c0cf5a539a282f39066332,1312,5,1307
0x0881d24a07ef84851dcb513cbdcd2384dc9c5b7a,1635,571,1064
0x5240e57c4e795902f8885d16a0b7378a095748b1,1000,0,1000
0x840541529e28564c1795dfefe5fec26fa557f778,982,0,982
0xe22de1d7a27afab02fc25f9b2b0cb538a26548c2,1826,942,884
0x1af0773909bf6e2038de27b06f01ebd086d4c393,778,0,778
0xc6108744c9d5db8b30f8004053a16d5683cd3489,766,0,766
0x1db131c9061e84b74b1abfc2593fdb77f330262e,677,0,677
0x313064ad94d014813c62a48c7bfbacde917174be,675,14,661
0xfca623f209571a845dcadadf2ec9c00c5275ba2f,650,0,650
0x885a91006cc369439251b1a7a8cf7b8d2e1432d9,649,0,649
0xf7295bb07070d93c59b11cad0dc9266360ee833a,649,0,649
0xa5f2bb69633825c51aaab6337c7b5c61818fead2,630,0,630
0x21979d8e139cf5344f9a6858196126b9b6d96d88,532,0,532
0x34edb2ee25751ee67f68a45813b22811687c0238,504,4,500
0xfd519cf55f8845bd311ee0e8d257febaff3f6bac,600,100,500
0x759c1d68eaeb808bb56519d59a1f49244086a892,817,317,500
0xae621f230476f81e67d6096d882538cb39e95135,496,0,496
0x209f0313a31e365b0a6f24ff07f7d3d502834f6b,488,0,488
0x61ad82d4466437d4cc250a0ceffbcbd7e07b8f96,484,0,484
0x59ecf48345a221e0731e785ed79ed40d0a94e2a5,472,0,472
0x24f34a87a28088cf58808d03c7f6017c6ad2150e,401,21,380
0x5ed8b5b1bcac0adb3205a779a70b7e6cc285c2bb,318,0,318
0x1e987e23e8985906e0ad7529edb3e9fd023d88d1,290,0,290
0x4685db8bf2df743c861d71e6cfb5347222992076,281,3,278
0x0544648fc3496991978fd24cd0b03f7c802708eb,272,0,272
0x5e33db0b37622f7e6b2f0654aa7b985d854ea9cb,252,0,252
0x6ed60d1b94b0bb67dca1c3e69b4ee2f2ef10136f,502,281,221
0xf2659cc196829c6676b1e0e1a71a8797cec6778a,210,0,210
0x6b7468504757a4918a96078f352572d172115263,208,0,208
0xb755c3bec24ed045dcf7303fe3b1d75183b14fa4,202,0,202
0x45617dd06e4224d5f3acaff4ef3a067c68119a89,201,12,189
0xcbd38b1f3265fb4c6c55c9180dcb9351b0ddc6af,173,0,173
0x765f6eeac5c5b555191c15e01cc0b3cf88073ca3,170,0,170
0x126beae9f195016015560517b388212d42668e4f,169,0,169
0xfef7ddaae3e406c3fd5fa0a731c5adbae7afd7fa,320,160,160
0xb9c585bfb4c0d5f247265cb7cf455054a1c91b37,151,0,151
0xa9fab4a426a042033553581ed04b453bc5abb029,126,0,126
0x4fc210d10d6df234a887ae764fe6ae9efae3cce7,125,0,125
0x0c6bd499ef02a44031ffe8336f59c82d81333f2a,209,106,103
0xf0dcc674f5cb9a53ac6a0c9c2d2132affab641d3,215,115,100
0x1eaa6561140868cc26dcd606550861a236438cae,100,0,100
0x87393be8ac323f2e63520a6184e5a8a9cc9fc051,110,23,87
0x8cbe11227b437c842fc4c93402d5088dc8044137,113,28,85
0xd1cf040b2d4024019b48ec323ce6cf50d9cdcb75,80,0,80
0xdf8f9a7f1f8eb645dc3c95354d2c909c2fdaf0e3,64,0,64
0x5e4fd056ba4ebc84c3fa2d0bf0c9b0373ee174e3,64,10,54
0x79299b19f1aaad319815dc01294c99d91f9d36a6,50,0,50
0x9e3b1f26a097d333d7738a1b359e5ffaf2b0153f,50,0,50
0x102aaeb12120c7158a102806544757cd5787ea85,49,3,46
0xadc2909750ce8a1b893b806c7ad1531e0b898f34,45,0,45
0x15646ddb42ee60b26a0ba727cfeb4e8b1a319cde,46,1,45
0x7f91842457e43ee795921e6c23b02cc98233bb5a,41,0,41
0xc869ddbbf718d4a9714f026261d60eae2d244eab,45,6,39
0xabf1adf95aa7ed243672cefc194e8411779300df,41,3,38
0x4eee7ec3b17bad06f6b3a60959793d6a079f2c9c,36,0,36
0x12c1ef3208de4805ba4ac3fea6a4f132f8d31243,53,20,33
0x97e18544e156724e4076945f10c288ecbbc94e54,30,0,30
0x877ac6a6d5df34c2be406602f6f2e29cc9d3af17,42,14,28
0x1072de4a082ceb22be35f08c098fcf9f16dfd5be,50,25,25
0x361afa9c6724bc6808fa09d7fb0fa0e155fe209a,25,0,25
0x9a55e599feeef2dd1498bcce49289e5d4c2ee50f,24,0,24
0x70ad66a5a3dd4dfecaa1f12dab43ed7fa5536e85,34,10,24
0x45c62666974f599ad384b6a07b5818e8abddb1f4,21,0,21
0x0bacb8024f58add1b22641a791d47aa9eb752acf,20,0,20
0xc4c04add0fe21ecc4f186893bfc714da0cfd5ac3,20,0,20
0xf97365034279d638d0094edc638075096bcbf373,20,0,20
0x9ea5c73eef6fe5b1df238930c5a3b8dd82ff1422,20,0,20
0xe468a9e3d1fc6983d6aea9266d99a5daeebac58a,20,0,20
